"full_name","variable","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"Aaron Burbridge","receiving_tar",0,1,0,2,0,0,2,NA,2,0,1,0,0,NA,3,3,2
"Aaron Burbridge","receiving_rec",0,0,0,1,0,0,1,NA,0,0,0,0,0,NA,2,2,1
"Aaron Burbridge","receiving_yds",0,0,0,5,0,0,15,NA,0,0,0,0,0,NA,29,15,24
"Aaron Burbridge","receiving_tds",0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"Aaron Burbridge","air_yds",NA,17,2,15,NA,NA,24,NA,17,NA,7,NA,NA,NA,28,16,16
"Aaron Burbridge","yac_yds",NA,0,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,17,3,23
"Aaron Burbridge","fpts_ppr",0,0,0,1.5,0,0,0.5,NA,0,0,0,0,0,NA,4.9,3.5,3.4
"Adam Humphries","receiving_tar",5,8,12,4,2,NA,3,4,7,8,7,1,2,NA,5,2,13
"Adam Humphries","receiving_rec",3,6,9,1,1,NA,2,3,5,5,4,1,2,NA,2,1,10
"Adam Humphries","receiving_yds",34,67,100,4,11,NA,17,58,46,46,47,18,19,NA,49,12,94
"Adam Humphries","receiving_tds",0,0,0,0,0,NA,0,0,1,0,0,0,0,NA,1,0,0
"Adam Humphries","air_yds",42,62,36,20,19,NA,1,32,35,36,48,3,3,NA,92,13,28
"Adam Humphries","yac_yds",26,52,72,0,9,NA,20,33,25,19,19,15,16,NA,1,6,69
"Adam Humphries","fpts_ppr",7.1,12.7,19,1.4,4.1,NA,4.3,8.8,15.6,9.8,8.7,3.1,3.9,NA,12.9,2.2,19.4
"Adam Thielen","receiving_tar",5,5,4,3,8,NA,5,5,6,4,5,11,9,5,1,15,1
"Adam Thielen","receiving_rec",4,4,3,2,7,NA,2,3,4,3,5,8,7,4,0,12,1
"Adam Thielen","receiving_yds",54,41,29,21,127,NA,52,40,68,21,65,53,86,101,0,202,7
"Adam Thielen","receiving_tds",0,0,0,0,1,NA,0,0,0,1,1,0,0,0,0,2,0
"Adam Thielen","air_yds",60,61,31,44,129,NA,70,75,66,8,53,32,105,77,18,157,6
"Adam Thielen","yac_yds",5,6,1,16,31,NA,10,9,25,16,12,34,21,42,0,70,1
"Adam Thielen","fpts_ppr",9.4,8.1,5.9,4.1,25.7,NA,7.2,7,10.8,12.2,17.5,13.3,13.6,14.1,0,44.6,1.7
"A.J. Green","receiving_tar",13,8,11,12,8,10,8,18,NA,11,1,NA,NA,NA,NA,NA,NA
"A.J. Green","receiving_rec",12,2,8,10,4,6,8,9,NA,7,0,NA,NA,NA,NA,NA,NA
"A.J. Green","receiving_yds",180,38,77,173,50,88,169,121,NA,68,0,NA,NA,NA,NA,NA,NA
"A.J. Green","receiving_tds",1,0,0,1,0,0,1,0,NA,1,0,NA,NA,NA,NA,NA,NA
"A.J. Green","air_yds",121,98,84,126,135,97,128,272,NA,169,6,NA,NA,NA,NA,NA,NA
"A.J. Green","yac_yds",69,2,22,55,11,17,41,24,NA,17,0,NA,NA,NA,NA,NA,NA
"A.J. Green","fpts_ppr",36,5.8,15.7,33.3,9,14.8,30.9,21.1,NA,19.8,0,NA,NA,NA,NA,NA,NA
"Albert Wilson","receiving_tar",5,3,NA,8,NA,1,1,NA,8,7,4,6,4,1,1,1,1
"Albert Wilson","receiving_rec",3,2,NA,5,NA,1,1,NA,3,4,4,2,4,0,0,1,1
"Albert Wilson","receiving_yds",1,11,NA,52,NA,26,4,NA,42,25,19,6,48,0,0,3,42
"Albert Wilson","receiving_tds",0,0,NA,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0
"Albert Wilson","air_yds",16,11,NA,44,NA,22,0,NA,135,60,10,31,28,4,5,-2,-3
"Albert Wilson","yac_yds",5,9,NA,21,NA,4,4,NA,19,19,9,8,20,0,0,5,45
"Albert Wilson","fpts_ppr",3.1,3.1,NA,10.2,NA,3.6,1.4,NA,12.7,6.5,11.9,2.6,20.3,0,0,1.3,5.2
"Aldrick Robinson","receiving_tar",NA,3,2,3,1,2,1,1,NA,1,NA,NA,3,6,5,1,2
"Aldrick Robinson","receiving_rec",NA,2,1,2,0,1,0,0,NA,1,NA,NA,2,3,4,1,2
"Aldrick Robinson","receiving_yds",NA,30,4,48,0,8,0,0,NA,2,NA,NA,18,42,111,15,36
"Aldrick Robinson","receiving_tds",NA,0,0,1,0,0,0,0,NA,0,NA,NA,1,0,0,0,0
"Aldrick Robinson","air_yds",NA,41,15,51,13,18,22,7,NA,1,NA,NA,28,65,78,15,36
"Aldrick Robinson","yac_yds",NA,0,0,2,0,3,0,0,NA,1,NA,NA,7,9,54,0,0
"Aldrick Robinson","fpts_ppr",NA,5,1.4,12.8,0,1.8,0,0,NA,1.2,NA,NA,9.8,7.2,15.1,2.5,5.6
"Alex Erickson","receiving_tar",0,1,0,0,0,0,0,0,NA,0,2,1,1,2,0,1,0
"Alex Erickson","receiving_rec",0,1,0,0,0,0,0,0,NA,0,1,1,1,1,0,1,0
"Alex Erickson","receiving_yds",0,20,0,0,0,0,0,0,NA,0,7,7,16,16,0,5,0
"Alex Erickson","receiving_tds",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"Alex Erickson","air_yds",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,25,6,6,27,NA,3,NA
"Alex Erickson","yac_yds",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,10,16,NA,2,NA
"Alex Erickson","fpts_ppr",0,3,0,0,0,0,0,0,NA,0,1.7,1.7,2.6,2.6,0,1.5,0
"Allen Hurns","receiving_tar",5,10,8,4,NA,11,7,11,4,7,2,7,NA,NA,NA,NA,NA
"Allen Hurns","receiving_rec",4,5,4,2,NA,5,4,7,0,2,1,1,NA,NA,NA,NA,NA
"Allen Hurns","receiving_yds",75,64,40,47,NA,74,45,98,0,13,9,12,NA,NA,NA,NA,NA
"Allen Hurns","receiving_tds",0,0,0,1,NA,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
"Allen Hurns","air_yds",41,120,95,24,NA,96,48,87,54,84,23,77,NA,NA,NA,NA,NA
"Allen Hurns","yac_yds",39,6,10,46,NA,29,20,37,0,6,3,15,NA,NA,NA,NA,NA
"Allen Hurns","fpts_ppr",11.5,11.4,8,12.7,NA,12.4,8.5,22.8,0,3.3,1.9,8.2,NA,NA,NA,NA,NA
"Allen Robinson","receiving_tar",15,5,11,10,NA,6,8,15,11,13,7,4,10,3,8,12,12
"Allen Robinson","receiving_rec",6,3,7,5,NA,3,2,6,7,9,3,2,3,1,2,9,5
"Allen Robinson","receiving_yds",72,54,57,55,NA,49,9,70,76,107,18,24,31,17,15,147,82
"Allen Robinson","receiving_tds",0,0,2,1,NA,0,0,0,1,1,1,0,0,0,0,0,0
"Allen Robinson","air_yds",242,56,112,140,NA,97,89,172,162,155,104,57,97,37,124,169,156
"Allen Robinson","yac_yds",17,21,11,1,NA,2,0,10,15,21,7,2,17,4,2,42,38
"Allen Robinson","fpts_ppr",13.2,8.4,24.7,16.5,NA,7.9,2.9,13,20.6,27.7,10.8,4.4,6.1,2.7,3.5,23.7,13.2
"Alshon Jeffery","receiving_tar",6,7,7,5,6,13,11,8,NA,9,NA,NA,NA,NA,9,10,3
"Alshon Jeffery","receiving_rec",4,5,5,3,5,7,3,4,NA,4,NA,NA,NA,NA,6,5,1
"Alshon Jeffery","receiving_yds",105,96,70,46,77,93,33,63,NA,47,NA,NA,NA,NA,89,92,10
"Alshon Jeffery","receiving_tds",0,0,0,0,0,0,0,1,NA,0,NA,NA,NA,NA,1,0,0
"Alshon Jeffery","air_yds",133,107,53,59,74,130,125,108,NA,126,NA,NA,NA,NA,146,148,56
"Alshon Jeffery","yac_yds",15,14,33,13,22,48,10,13,NA,0,NA,NA,NA,NA,17,14,0
"Alshon Jeffery","fpts_ppr",14.5,14.6,12,7.6,12.7,16.3,6.3,16.3,NA,8.7,NA,NA,NA,NA,20.9,14.2,2
"Amari Cooper","receiving_tar",11,9,9,6,12,13,5,15,8,NA,5,7,4,10,3,6,8
"Amari Cooper","receiving_rec",6,5,4,5,6,10,4,12,6,NA,4,4,2,5,1,4,4
"Amari Cooper","receiving_yds",137,71,62,48,138,129,29,173,56,NA,57,22,59,29,28,72,39
"Amari Cooper","receiving_tds",0,0,0,0,1,0,0,1,0,NA,1,0,1,0,0,0,1
"Amari Cooper","air_yds",91,82,154,50,163,135,9,165,52,NA,65,35,48,83,31,67,63
"Amari Cooper","yac_yds",65,35,14,16,50,22,22,59,26,NA,32,11,22,12,17,13,14
"Amari Cooper","fpts_ppr",21.7,12.1,10.2,9.8,27.8,22.9,6.9,35.3,11.6,NA,15.7,6.2,13.9,7.9,3.8,11.2,13.9
"Andre Holmes","receiving_tar",1,3,1,0,3,2,1,1,3,NA,0,1,1,1,1,5,1
"Andre Holmes","receiving_rec",0,1,1,0,2,2,1,1,2,NA,0,0,0,0,1,3,0
"Andre Holmes","receiving_yds",0,6,8,0,13,11,5,0,27,NA,0,0,0,0,23,33,0
"Andre Holmes","receiving_tds",0,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,1,0
"Andre Holmes","air_yds",12,18,0,NA,23,9,-1,-1,24,NA,NA,5,17,14,21,62,9
"Andre Holmes","yac_yds",0,0,8,NA,0,2,6,1,5,NA,NA,0,0,0,2,2,0
"Andre Holmes","fpts_ppr",0,7.6,1.8,0,3.3,9.1,1.5,1,4.7,NA,0,0,0,0,3.3,12.3,0
"Andre Johnson","receiving_tar",7,2,3,5,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Johnson","receiving_rec",3,1,0,3,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Johnson","receiving_yds",30,9,0,33,13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Johnson","receiving_tds",0,1,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Johnson","air_yds",85,11,58,37,53,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Johnson","yac_yds",8,0,0,7,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Johnson","fpts_ppr",6,7.9,0,6.3,9.3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Roberts","receiving_tar",1,0,1,1,1,2,2,0,1,NA,1,4,7,2,0,1,1
"Andre Roberts","receiving_rec",1,0,0,1,0,2,1,0,1,NA,1,2,4,0,0,1,0
"Andre Roberts","receiving_yds",8,0,0,8,0,13,20,0,27,NA,44,19,35,0,0,14,0
"Andre Roberts","receiving_tds",0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0
"Andre Roberts","air_yds",5,NA,10,6,6,9,32,NA,27,NA,20,94,93,23,NA,6,29
"Andre Roberts","yac_yds",3,NA,0,2,0,4,8,NA,0,NA,24,0,14,0,NA,8,0
"Andre Roberts","fpts_ppr",1.8,0,0,7.8,0,9.3,3,0,3.7,NA,9.4,3.9,7.5,0,0,2.4,0
"Andrew Hawkins","receiving_tar",3,3,4,3,7,4,4,8,4,1,1,2,NA,1,1,2,5
"Andrew Hawkins","receiving_rec",0,3,2,3,4,3,2,5,2,0,1,0,NA,1,1,1,5
"Andrew Hawkins","receiving_yds",0,28,14,28,56,48,19,31,13,0,20,0,NA,4,33,21,9
"Andrew Hawkins","receiving_tds",0,0,0,0,1,0,0,2,0,0,0,0,NA,0,0,0,0
"Andrew Hawkins","air_yds",30,12,8,28,59,63,20,63,34,5,6,23,NA,3,30,17,12
"Andrew Hawkins","yac_yds",0,16,12,15,14,12,25,3,4,0,14,0,NA,1,3,17,-3
"Andrew Hawkins","fpts_ppr",-0.1,5.8,3.5,5.8,15.6,7.8,3.9,20.1,3.3,0,3,0,NA,1.4,4.3,3.1,5.9
"Anquan Boldin","receiving_tar",3,7,6,8,4,9,4,3,4,NA,9,9,6,6,4,7,6
"Anquan Boldin","receiving_rec",3,4,4,6,4,8,3,1,2,NA,6,7,4,3,3,5,4
"Anquan Boldin","receiving_yds",35,48,22,31,48,60,28,4,10,NA,37,69,40,49,13,33,57
"Anquan Boldin","receiving_tds",0,1,1,0,0,1,1,0,1,NA,0,1,0,1,0,0,1
"Anquan Boldin","air_yds",5,45,45,28,28,39,25,25,27,NA,43,54,33,40,27,32,52
"Anquan Boldin","yac_yds",30,13,7,15,20,23,7,2,4,NA,10,31,12,22,3,19,13
"Anquan Boldin","fpts_ppr",6.5,14.8,12.2,9.1,8.8,20,11.8,1.4,9,NA,9.7,19.9,8,13.9,4.3,8.3,15.7
"Antonio Brown","receiving_tar",11,11,18,5,11,8,11,NA,11,18,10,6,7,11,5,11,NA
"Antonio Brown","receiving_rec",8,4,12,4,9,4,7,NA,7,14,8,5,6,5,3,10,NA
"Antonio Brown","receiving_yds",126,39,140,64,78,39,106,NA,85,154,76,91,54,78,58,96,NA
"Antonio Brown","receiving_tds",2,0,0,2,1,0,0,NA,1,1,0,3,1,0,0,1,NA
"Antonio Brown","air_yds",144,116,125,73,72,99,118,NA,138,151,117,111,34,155,78,56,NA
"Antonio Brown","yac_yds",5,8,78,2,22,6,39,NA,31,82,25,10,20,35,13,58,NA
"Antonio Brown","fpts_ppr",32.6,7.9,26,22.4,22.8,8.5,18.9,NA,21.5,34.4,15.6,32.1,17.4,12.8,8.8,25.6,NA
"Arrelious Benn","receiving_tar",0,2,0,2,NA,1,2,1,1,0,NA,NA,0,1,0,NA,NA
"Arrelious Benn","receiving_rec",0,1,0,1,NA,1,1,0,1,0,NA,NA,0,0,0,NA,NA
"Arrelious Benn","receiving_yds",0,9,0,1,NA,51,39,0,16,0,NA,NA,0,0,0,NA,NA
"Arrelious Benn","receiving_tds",0,0,0,0,NA,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"Arrelious Benn","air_yds",NA,16,NA,-2,NA,15,33,18,16,NA,NA,NA,NA,17,NA,NA,NA
"Arrelious Benn","yac_yds",NA,2,NA,3,NA,36,12,0,0,NA,NA,NA,NA,0,NA,NA,NA
"Arrelious Benn","fpts_ppr",0,1.9,0,1.1,NA,12.1,4.9,0,2.6,0,NA,NA,0,0,0,NA,NA
"Bennie Fowler","receiving_tar",NA,NA,1,3,2,7,1,1,1,0,NA,2,NA,4,NA,2,0
"Bennie Fowler","receiving_rec",NA,NA,1,0,2,3,1,0,1,0,NA,1,NA,1,NA,1,0
"Bennie Fowler","receiving_yds",NA,NA,13,0,13,22,7,0,4,0,NA,76,NA,5,NA,5,0
"Bennie Fowler","receiving_tds",NA,NA,0,0,0,1,0,0,0,0,NA,1,NA,0,NA,0,0
"Bennie Fowler","air_yds",NA,NA,7,61,13,78,6,9,2,NA,NA,50,NA,41,NA,19,NA
"Bennie Fowler","yac_yds",NA,NA,6,0,0,0,1,0,2,NA,NA,55,NA,0,NA,0,NA
"Bennie Fowler","fpts_ppr",NA,NA,2.3,0,3.3,11.2,1.7,0,1.4,0,NA,14.6,NA,1.5,NA,1.5,0
"Bradley Marquez","receiving_tar",NA,NA,2,NA,0,1,1,NA,1,NA,0,1,1,NA,0,NA,NA
"Bradley Marquez","receiving_rec",NA,NA,1,NA,0,1,0,NA,0,NA,0,1,0,NA,0,NA,NA
"Bradley Marquez","receiving_yds",NA,NA,12,NA,0,13,0,NA,0,NA,0,12,0,NA,0,NA,NA
"Bradley Marquez","receiving_tds",NA,NA,0,NA,0,0,0,NA,0,NA,0,0,0,NA,0,NA,NA
"Bradley Marquez","air_yds",NA,NA,8,NA,NA,5,15,NA,10,NA,NA,6,5,NA,NA,NA,NA
"Bradley Marquez","yac_yds",NA,NA,8,NA,NA,8,0,NA,0,NA,NA,6,0,NA,NA,NA,NA
"Bradley Marquez","fpts_ppr",NA,NA,2.2,NA,0.2,2.3,0,NA,0,NA,0,2.2,0,NA,0,NA,NA
"Bralon Addison","receiving_tar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Bralon Addison","receiving_rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Bralon Addison","receiving_yds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11
"Bralon Addison","receiving_tds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Bralon Addison","air_yds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"Bralon Addison","yac_yds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"Bralon Addison","fpts_ppr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"Brandin Cooks","receiving_tar",9,9,8,6,NA,9,9,6,6,5,8,NA,9,10,8,9,6
"Brandin Cooks","receiving_rec",6,7,2,3,NA,7,7,4,5,3,7,NA,7,5,7,5,3
"Brandin Cooks","receiving_yds",143,68,13,31,NA,173,58,44,66,98,42,NA,73,61,186,98,19
"Brandin Cooks","receiving_tds",2,0,0,0,NA,1,1,1,0,1,0,NA,0,0,2,0,0
"Brandin Cooks","air_yds",109,78,105,47,NA,152,79,78,91,129,29,NA,137,161,111,155,68
"Brandin Cooks","yac_yds",74,25,11,3,NA,102,9,19,5,5,13,NA,6,7,84,10,7
"Brandin Cooks","fpts_ppr",33.4,13.8,3.9,6.1,NA,30.5,18.8,14.4,11.6,18.8,11.9,NA,14.7,11.1,37.6,14.8,4.9
"Brandon Coleman","receiving_tar",NA,4,8,3,NA,2,1,2,2,1,2,1,NA,8,1,0,3
"Brandon Coleman","receiving_rec",NA,2,7,2,NA,1,1,2,2,1,1,1,NA,5,0,0,1
"Brandon Coleman","receiving_yds",NA,15,78,17,NA,6,10,44,25,19,9,3,NA,47,0,0,8
"Brandon Coleman","receiving_tds",NA,0,0,0,NA,0,1,0,0,0,1,1,NA,0,0,0,0
"Brandon Coleman","air_yds",NA,50,74,34,NA,16,10,34,5,17,44,3,NA,95,12,NA,31
"Brandon Coleman","yac_yds",NA,1,16,7,NA,1,0,10,20,2,0,0,NA,10,0,NA,7
