season_year,week,full_name,team,receiving_tar,receiving_rec,receiving_yds,receiving_tds,air_yds,yac_yds,fpts_ppr
2016,1,Steve Smith,BAL,9,5,19,0,44,12,6.9
2016,2,Steve Smith,BAL,6,3,64,0,80,5,9.4
2016,3,Steve Smith,BAL,11,8,87,0,66,39,16.7
2016,4,Steve Smith,BAL,11,8,111,1,88,60,25.1
2016,5,Steve Smith,BAL,3,3,29,0,27,2,5.9
2016,9,Steve Smith,BAL,7,4,47,0,46,26,8.7
2016,10,Steve Smith,BAL,7,5,60,1,98,10,17
2016,11,Steve Smith,BAL,9,8,99,1,74,34,23.9
2016,12,Steve Smith,BAL,4,4,20,0,17,3,6
2016,13,Steve Smith,BAL,10,6,53,0,42,20,11.3
2016,14,Steve Smith,BAL,6,4,57,0,56,9,9.7
2016,15,Steve Smith,BAL,7,2,40,1,133,3,12
2016,16,Steve Smith,BAL,7,7,79,1,41,38,22.9
2016,17,Steve Smith,BAL,5,3,34,0,65,20,6.4
2016,1,Andre Johnson,TEN,7,3,30,0,85,8,6
2016,2,Andre Johnson,TEN,2,1,9,1,11,0,7.9
2016,3,Andre Johnson,TEN,3,0,0,0,58,0,0
2016,4,Andre Johnson,TEN,5,3,33,0,37,7,6.3
2016,5,Andre Johnson,TEN,4,2,13,1,53,0,9.3
2016,7,Andre Johnson,TEN,2,0,0,0,24,0,0
2016,1,Anquan Boldin,DET,3,3,35,0,5,30,6.5
2016,2,Anquan Boldin,DET,7,4,48,1,45,13,14.8
2016,3,Anquan Boldin,DET,6,4,22,1,45,7,12.2
2016,4,Anquan Boldin,DET,8,6,31,0,28,15,9.1
2016,5,Anquan Boldin,DET,4,4,48,0,28,20,8.8
2016,6,Anquan Boldin,DET,9,8,60,1,39,23,20
2016,7,Anquan Boldin,DET,4,3,28,1,25,7,11.8
2016,8,Anquan Boldin,DET,3,1,4,0,25,2,1.4
2016,9,Anquan Boldin,DET,4,2,10,1,27,4,9
2016,11,Anquan Boldin,DET,9,6,37,0,43,10,9.7
2016,12,Anquan Boldin,DET,9,7,69,1,54,31,19.9
2016,13,Anquan Boldin,DET,6,4,40,0,33,12,8
2016,14,Anquan Boldin,DET,6,3,49,1,40,22,13.9
2016,15,Anquan Boldin,DET,4,3,13,0,27,3,4.3
2016,16,Anquan Boldin,DET,7,5,33,0,32,19,8.3
2016,17,Anquan Boldin,DET,6,4,57,1,52,13,15.7
2016,1,Larry Fitzgerald,ARI,10,8,81,2,91,27,28.1
2016,2,Larry Fitzgerald,ARI,11,6,81,1,116,19,20.1
2016,3,Larry Fitzgerald,ARI,12,7,60,0,68,22,13
2016,4,Larry Fitzgerald,ARI,7,5,62,0,82,30,11.3
2016,5,Larry Fitzgerald,ARI,8,6,81,2,74,16,26.1
2016,6,Larry Fitzgerald,ARI,9,6,49,0,60,17,10.9
2016,7,Larry Fitzgerald,ARI,14,9,70,0,115,41,16
2016,8,Larry Fitzgerald,ARI,11,10,74,0,56,28,17.4
2016,10,Larry Fitzgerald,ARI,18,12,133,0,142,42,25.3
2016,11,Larry Fitzgerald,ARI,7,6,63,0,65,6,12.3
2016,12,Larry Fitzgerald,ARI,4,4,53,0,46,7,9.3
2016,13,Larry Fitzgerald,ARI,11,10,78,0,32,58,17.8
2016,14,Larry Fitzgerald,ARI,9,3,12,0,70,11,4.2
2016,15,Larry Fitzgerald,ARI,9,7,57,0,48,23,10.7
2016,16,Larry Fitzgerald,ARI,4,4,31,0,25,6,7.1
2016,17,Larry Fitzgerald,ARI,7,5,43,1,59,13,15.3
2016,1,Vincent Jackson,TB,7,2,18,0,92,1,3.8
2016,2,Vincent Jackson,TB,9,4,44,0,124,8,8.4
2016,3,Vincent Jackson,TB,6,3,37,0,83,1,6.7
2016,4,Vincent Jackson,TB,5,3,38,0,83,0,6.8
2016,5,Vincent Jackson,TB,5,3,36,0,53,6,6.6
2016,1,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,2,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,3,Devin Hester,BAL,0,0,0,0,NA,NA,-2
2016,4,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,5,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,7,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,9,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,10,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,11,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,12,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,13,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,14,Devin Hester,BAL,0,0,0,0,NA,NA,0
2016,1,Brandon Marshall,NYJ,8,3,32,0,84,7,6.2
2016,2,Brandon Marshall,NYJ,9,6,101,0,147,30,16.1
2016,3,Brandon Marshall,NYJ,10,3,27,0,117,13,5.7
2016,4,Brandon Marshall,NYJ,12,4,89,1,199,25,18.9
2016,5,Brandon Marshall,NYJ,15,8,114,1,162,19,25.4
2016,6,Brandon Marshall,NYJ,6,3,70,0,89,17,10
2016,7,Brandon Marshall,NYJ,8,3,39,0,86,-1,6.9
2016,8,Brandon Marshall,NYJ,9,4,68,0,129,20,10.8
2016,9,Brandon Marshall,NYJ,9,6,45,0,46,17,10.5
2016,10,Brandon Marshall,NYJ,6,4,15,0,10,9,5.5
2016,12,Brandon Marshall,NYJ,9,6,67,1,115,10,18.7
2016,13,Brandon Marshall,NYJ,8,4,43,0,121,3,8.3
2016,14,Brandon Marshall,NYJ,5,3,33,0,49,5,6.3
2016,15,Brandon Marshall,NYJ,11,1,16,0,187,0,2.6
2016,16,Brandon Marshall,NYJ,4,2,28,0,59,3,4.8
2016,1,Eric Weems,ATL,0,0,0,0,NA,NA,0
2016,2,Eric Weems,ATL,0,0,0,0,NA,NA,0
2016,3,Eric Weems,ATL,0,0,0,0,NA,NA,0
2016,4,Eric Weems,ATL,0,0,0,0,NA,NA,0
2016,5,Eric Weems,ATL,0,0,0,0,NA,NA,0
2016,6,Eric Weems,ATL,0,0,0,0,NA,NA,0
2016,7,Eric Weems,ATL,0,0,0,0,NA,NA,0
